id,user_id,name,primary_contact,location,company_size,industry,bio,description,developer_type,website_url,image_url,enabled
20,40,Devpoint,jjohnstonj@lulu.com,0 Milwaukee Center,22,Mobility,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,Nam tristique tortor eu pede.,Back end,https://prlog.org,http://dummyimage.com/242x143.bmp/ff4444/ffffff,1
21,41,Skinder,mlongk@columbia.edu,21517 Straubel Circle,66,Metro,Nulla facilisi.,Praesent id massa id nisl venenatis lacinia.,Full stack,https://ycombinator.com,http://dummyimage.com/228x207.jpg/5fa2dd/ffffff,1
22,42,Riffpedia,doliverl@npr.org,446 Forest Run Trail,73,Cloud,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,Duis aliquam convallis nunc.,Full stack,https://intel.com,http://dummyimage.com/132x241.jpg/cc0000/ffffff,1
23,43,Podcat,lmorenom@wikia.com,8941 Johnson Road,24,Connection,Nulla nisl.,Vivamus vel nulla eget eros elementum pellentesque.,Back end,http://tuttocitta.it,http://dummyimage.com/232x203.bmp/ff4444/ffffff,1
24,44,Midel,plopezn@pcworld.com,4 Carpenter Way,61,Metro,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Aenean fermentum.,Front end,http://forbes.com,http://dummyimage.com/166x160.bmp/dddddd/000000,1
25,45,Blogspan,pfreemano@mozilla.org,3 Paget Crossing,28,Mobility,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Etiam vel augue.,Front end,http://4shared.com,http://dummyimage.com/168x246.png/ff4444/ffffff,1
26,46,Zoozzy,bhicksp@fema.gov,49 Merchant Road,1,Retail,Duis mattis egestas metus. Aenean fermentum.,Suspendisse accumsan tortor quis turpis.,Back end,http://phpbb.com,http://dummyimage.com/176x178.bmp/5fa2dd/ffffff,1
27,47,Livepath,gwilliamsonq@slashdot.org,30 Mendota Parkway,34,Metro,Phasellus in felis. Donec semper sapien a libero.,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Front end,https://ftc.gov,http://dummyimage.com/162x134.jpg/ff4444/ffffff,1
28,48,Rhybox,amontgomeryr@gmpg.org,8695 Arrowood Point,72,Mobility,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Full stack,https://domainmarket.com,http://dummyimage.com/125x175.jpg/cc0000/ffffff,1
29,49,Centidel,wkings@tiny.cc,81679 Delladonna Road,75,Mobility,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,Etiam vel augue.,Full stack,http://patch.com,http://dummyimage.com/231x149.bmp/dddddd/000000,1
30,50,Buzzster,csimpsont@tumblr.com,75556 Dwight Lane,57,Metro,Cras non velit nec nisi vulputate nonummy.,Sed ante.,Back end,http://google.ca,http://dummyimage.com/228x179.bmp/cc0000/ffffff,1
